filename,date,strain,plasmid,backbone,iptg_concentration
Huseyin2019-09-24.0070.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,500
Huseyin2019-09-24.0071.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,1000
Huseyin2019-09-24.0072.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,2000
Huseyin2019-09-24.0073.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,0
Huseyin2019-09-24.0074.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,5
Huseyin2019-09-24.0075.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,10
Huseyin2019-09-24.0076.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,20
Huseyin2019-09-24.0077.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,30
Huseyin2019-09-24.0078.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,40
Huseyin2019-09-24.0079.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,70
Huseyin2019-09-24.0080.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,100
Huseyin2019-09-24.0081.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,200
Huseyin2019-09-24.0082.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,500
Huseyin2019-09-24.0083.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,1000
Huseyin2019-09-24.0084.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,2000
Huseyin2019-09-24.0085.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,0
Huseyin2019-09-24.0086.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,5
Huseyin2019-09-24.0087.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,10
Huseyin2019-09-24.0088.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,20
Huseyin2019-09-24.0089.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,30
Huseyin2019-09-24.0090.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,40
Huseyin2019-09-24.0091.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,70
Huseyin2019-09-24.0092.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,100
Huseyin2019-09-24.0093.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,200
Huseyin2019-09-24.0094.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,500
Huseyin2019-09-24.0095.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,1000
Huseyin2019-09-24.0096.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,2000
Huseyin2019-09-24.0101.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,0
Huseyin2019-09-24.0102.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,5
Huseyin2019-09-24.0103.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,10
Huseyin2019-09-24.0104.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,20
Huseyin2019-09-24.0105.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,30
Huseyin2019-09-24.0106.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,40
Huseyin2019-09-24.0107.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,70
Huseyin2019-09-24.0108.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,100
Huseyin2019-09-24.0109.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,200
Huseyin2019-09-24.0110.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,500
Huseyin2019-09-24.0111.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,1000
Huseyin2019-09-24.0112.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,2000
Huseyin2019-09-24.0113.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,0
Huseyin2019-09-24.0114.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,5
Huseyin2019-09-24.0115.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,10
Huseyin2019-09-24.0116.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,20
Huseyin2019-09-24.0117.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,30
Huseyin2019-09-24.0118.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,40
Huseyin2019-09-24.0119.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,70
Huseyin2019-09-24.0120.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,100
Huseyin2019-09-24.0121.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,200
Huseyin2019-09-24.0122.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,500
Huseyin2019-09-24.0123.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,1000
Huseyin2019-09-24.0124.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,2000
Huseyin2019-09-24.0125.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,0
Huseyin2019-09-24.0126.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,5
Huseyin2019-09-24.0127.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,10
Huseyin2019-09-24.0128.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,20
Huseyin2019-09-24.0129.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,30
Huseyin2019-09-24.0130.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,40
Huseyin2019-09-24.0131.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,70
Huseyin2019-09-24.0132.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,100
Huseyin2019-09-24.0133.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,200
Huseyin2019-09-24.0134.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,500
Huseyin2019-09-24.0135.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,1000
Huseyin2019-09-24.0136.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,2000
Huseyin2019-09-24.0137.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,0
Huseyin2019-09-24.0138.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,5
Huseyin2019-09-24.0139.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,10
Huseyin2019-09-24.0140.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,20
Huseyin2019-09-24.0141.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,30
Huseyin2019-09-24.0142.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,40
Huseyin2019-09-24.0143.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,70
Huseyin2019-09-24.0144.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,100
Huseyin2019-09-24.0145.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,200
Huseyin2019-09-24.0146.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,500
Huseyin2019-09-24.0147.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,1000
Huseyin2019-09-24.0148.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,2000
Huseyin2019-09-24.0149.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,0
Huseyin2019-09-24.0150.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,5
Huseyin2019-09-24.0151.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,10
Huseyin2019-09-24.0152.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,20
Huseyin2019-09-24.0153.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,30
Huseyin2019-09-24.0154.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,40
Huseyin2019-09-24.0155.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,70
Huseyin2019-09-24.0156.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,100
Huseyin2019-09-24.0157.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,200
Huseyin2019-09-24.0158.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,500
Huseyin2019-09-24.0159.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,1000
Huseyin2019-09-24.0160.fcs,2019-09-24,KT 2440,LmrA-N1,pSeva221,2000
Huseyin2019-09-24.0161.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,0
Huseyin2019-09-24.0162.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,5
Huseyin2019-09-24.0163.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,10
Huseyin2019-09-24.0164.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,20
Huseyin2019-09-24.0165.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,30
Huseyin2019-09-24.0166.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,40
Huseyin2019-09-24.0167.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,70
Huseyin2019-09-24.0168.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,100
Huseyin2019-09-24.0169.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,200
Huseyin2019-09-24.0170.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,500
Huseyin2019-09-24.0171.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,1000
Huseyin2019-09-24.0172.fcs,2019-09-24,KT 2440,PhIF-P1,pSeva221,2000
Huseyin2019-09-24.0173.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,0
Huseyin2019-09-24.0174.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,5
Huseyin2019-09-24.0175.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,10
Huseyin2019-09-24.0176.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,20
Huseyin2019-09-24.0177.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,30
Huseyin2019-09-24.0178.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,40
Huseyin2019-09-24.0179.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,70
Huseyin2019-09-24.0180.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,100
Huseyin2019-09-24.0181.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,200
Huseyin2019-09-24.0182.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,500
Huseyin2019-09-24.0183.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,1000
Huseyin2019-09-24.0184.fcs,2019-09-24,KT 2440,PhIF-P2,pSeva221,2000
Huseyin2019-09-24.0185.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,0
Huseyin2019-09-24.0186.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,5
Huseyin2019-09-24.0187.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,10
Huseyin2019-09-24.0188.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,20
Huseyin2019-09-24.0189.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,30
Huseyin2019-09-24.0190.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,40
Huseyin2019-09-24.0191.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,70
Huseyin2019-09-24.0192.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,100
Huseyin2019-09-24.0193.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,200
Huseyin2019-09-24.0194.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,500
Huseyin2019-09-24.0195.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,1000
Huseyin2019-09-24.0196.fcs,2019-09-24,KT 2440,PhIF-P3,pSeva221,2000
Huseyin2019-09-24.0201.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,0
Huseyin2019-09-24.0202.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,5
Huseyin2019-09-24.0203.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,10
Huseyin2019-09-24.0204.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,20
Huseyin2019-09-24.0205.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,30
Huseyin2019-09-24.0206.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,40
Huseyin2019-09-24.0207.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,70
Huseyin2019-09-24.0208.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,100
Huseyin2019-09-24.0209.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,200
Huseyin2019-09-24.0210.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,500
Huseyin2019-09-24.0211.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,1000
Huseyin2019-09-24.0212.fcs,2019-09-24,KT 2440,PsrA-R1,pSeva221,2000
Huseyin2019-09-24.0213.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,0
Huseyin2019-09-24.0214.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,5
Huseyin2019-09-24.0215.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,10
Huseyin2019-09-24.0216.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,20
Huseyin2019-09-24.0217.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,30
Huseyin2019-09-24.0218.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,40
Huseyin2019-09-24.0219.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,70
Huseyin2019-09-24.0220.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,100
Huseyin2019-09-24.0221.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,200
Huseyin2019-09-24.0222.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,500
Huseyin2019-09-24.0223.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,1000
Huseyin2019-09-24.0224.fcs,2019-09-24,KT 2440,QacR-Q1,pSeva221,2000
Huseyin2019-09-24.0225.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,0
Huseyin2019-09-24.0226.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,5
Huseyin2019-09-24.0227.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,10
Huseyin2019-09-24.0228.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,20
Huseyin2019-09-24.0229.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,30
Huseyin2019-09-24.0230.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,40
Huseyin2019-09-24.0231.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,70
Huseyin2019-09-24.0232.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,100
Huseyin2019-09-24.0233.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,200
Huseyin2019-09-24.0234.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,500
Huseyin2019-09-24.0235.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,1000
Huseyin2019-09-24.0236.fcs,2019-09-24,KT 2440,QacR-Q2,pSeva221,2000
Huseyin2019-09-24.0237.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,0
Huseyin2019-09-24.0238.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,5
Huseyin2019-09-24.0239.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,10
Huseyin2019-09-24.0240.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,20
Huseyin2019-09-24.0241.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,30
Huseyin2019-09-24.0242.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,40
Huseyin2019-09-24.0243.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,70
Huseyin2019-09-24.0244.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,100
Huseyin2019-09-24.0245.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,200
Huseyin2019-09-24.0246.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,500
Huseyin2019-09-24.0247.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,1000
Huseyin2019-09-24.0248.fcs,2019-09-24,KT 2440,SrpR-S1,pSeva221,2000
Huseyin2019-09-24.0249.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,0
Huseyin2019-09-24.0250.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,5
Huseyin2019-09-24.0251.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,10
Huseyin2019-09-24.0252.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,20
Huseyin2019-09-24.0253.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,30
Huseyin2019-09-24.0254.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,40
Huseyin2019-09-24.0255.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,70
Huseyin2019-09-24.0256.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,100
Huseyin2019-09-24.0257.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,200
Huseyin2019-09-24.0258.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,500
Huseyin2019-09-24.0259.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,1000
Huseyin2019-09-24.0260.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,2000
Huseyin2019-09-24.0261.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,0
Huseyin2019-09-24.0262.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,5
Huseyin2019-09-24.0263.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,10
