,iptg,median_yfp,filename,strain,backbone,plasmid
4,30,0.24,Interop_DH5alpha_pSeva221_PhIF_P2.csv,DH5alpha,pSeva221,PhIF_P2
5,40,0.18,Interop_DH5alpha_pSeva221_PhIF_P2.csv,DH5alpha,pSeva221,PhIF_P2
6,70,0.0,Interop_DH5alpha_pSeva221_PhIF_P2.csv,DH5alpha,pSeva221,PhIF_P2
7,100,-0.01,Interop_DH5alpha_pSeva221_PhIF_P2.csv,DH5alpha,pSeva221,PhIF_P2
8,200,-0.01,Interop_DH5alpha_pSeva221_PhIF_P2.csv,DH5alpha,pSeva221,PhIF_P2
9,500,0.02,Interop_DH5alpha_pSeva221_PhIF_P2.csv,DH5alpha,pSeva221,PhIF_P2
10,1000,0.0,Interop_DH5alpha_pSeva221_PhIF_P2.csv,DH5alpha,pSeva221,PhIF_P2
11,2000,0.0,Interop_DH5alpha_pSeva221_PhIF_P2.csv,DH5alpha,pSeva221,PhIF_P2
0,1,1.27,Interop_KT2440_pSeva231_Bm3R1_B2.csv,KT2440,pSeva231,Bm3R1_B2
1,5,1.25,Interop_KT2440_pSeva231_Bm3R1_B2.csv,KT2440,pSeva231,Bm3R1_B2
2,10,1.43,Interop_KT2440_pSeva231_Bm3R1_B2.csv,KT2440,pSeva231,Bm3R1_B2
3,20,1.4,Interop_KT2440_pSeva231_Bm3R1_B2.csv,KT2440,pSeva231,Bm3R1_B2
4,30,1.4,Interop_KT2440_pSeva231_Bm3R1_B2.csv,KT2440,pSeva231,Bm3R1_B2
5,40,1.22,Interop_KT2440_pSeva231_Bm3R1_B2.csv,KT2440,pSeva231,Bm3R1_B2
6,70,1.2,Interop_KT2440_pSeva231_Bm3R1_B2.csv,KT2440,pSeva231,Bm3R1_B2
7,100,1.11,Interop_KT2440_pSeva231_Bm3R1_B2.csv,KT2440,pSeva231,Bm3R1_B2
8,200,1.15,Interop_KT2440_pSeva231_Bm3R1_B2.csv,KT2440,pSeva231,Bm3R1_B2
9,500,1.2,Interop_KT2440_pSeva231_Bm3R1_B2.csv,KT2440,pSeva231,Bm3R1_B2
10,1000,1.08,Interop_KT2440_pSeva231_Bm3R1_B2.csv,KT2440,pSeva231,Bm3R1_B2
11,2000,1.18,Interop_KT2440_pSeva231_Bm3R1_B2.csv,KT2440,pSeva231,Bm3R1_B2
0,1,0.31,Interop_KT2440_pSeva231_SrpR_S1.csv,KT2440,pSeva231,SrpR_S1
1,5,0.34,Interop_KT2440_pSeva231_SrpR_S1.csv,KT2440,pSeva231,SrpR_S1
2,10,0.32,Interop_KT2440_pSeva231_SrpR_S1.csv,KT2440,pSeva231,SrpR_S1
3,20,0.31,Interop_KT2440_pSeva231_SrpR_S1.csv,KT2440,pSeva231,SrpR_S1
4,30,0.34,Interop_KT2440_pSeva231_SrpR_S1.csv,KT2440,pSeva231,SrpR_S1
5,40,0.27,Interop_KT2440_pSeva231_SrpR_S1.csv,KT2440,pSeva231,SrpR_S1
6,70,0.3,Interop_KT2440_pSeva231_SrpR_S1.csv,KT2440,pSeva231,SrpR_S1
7,100,0.28,Interop_KT2440_pSeva231_SrpR_S1.csv,KT2440,pSeva231,SrpR_S1
8,200,0.24,Interop_KT2440_pSeva231_SrpR_S1.csv,KT2440,pSeva231,SrpR_S1
9,500,0.16,Interop_KT2440_pSeva231_SrpR_S1.csv,KT2440,pSeva231,SrpR_S1
10,1000,0.1,Interop_KT2440_pSeva231_SrpR_S1.csv,KT2440,pSeva231,SrpR_S1
11,2000,0.05,Interop_KT2440_pSeva231_SrpR_S1.csv,KT2440,pSeva231,SrpR_S1
0,1,7.29,Interop_DH5alpha_pAN_LitR_L1.csv,DH5alpha,pAN,LitR_L1
1,5,4.34,Interop_DH5alpha_pAN_LitR_L1.csv,DH5alpha,pAN,LitR_L1
2,10,2.75,Interop_DH5alpha_pAN_LitR_L1.csv,DH5alpha,pAN,LitR_L1
3,20,0.97,Interop_DH5alpha_pAN_LitR_L1.csv,DH5alpha,pAN,LitR_L1
4,30,0.48,Interop_DH5alpha_pAN_LitR_L1.csv,DH5alpha,pAN,LitR_L1
5,40,0.4,Interop_DH5alpha_pAN_LitR_L1.csv,DH5alpha,pAN,LitR_L1
6,70,0.34,Interop_DH5alpha_pAN_LitR_L1.csv,DH5alpha,pAN,LitR_L1
7,100,0.4,Interop_DH5alpha_pAN_LitR_L1.csv,DH5alpha,pAN,LitR_L1
8,200,0.33,Interop_DH5alpha_pAN_LitR_L1.csv,DH5alpha,pAN,LitR_L1
9,500,0.33,Interop_DH5alpha_pAN_LitR_L1.csv,DH5alpha,pAN,LitR_L1
10,1000,0.34,Interop_DH5alpha_pAN_LitR_L1.csv,DH5alpha,pAN,LitR_L1
11,2000,0.41,Interop_DH5alpha_pAN_LitR_L1.csv,DH5alpha,pAN,LitR_L1
0,1,0.96,Interop_DH5alpha_pSeva221_SrpR_S3.csv,DH5alpha,pSeva221,SrpR_S3
1,5,0.71,Interop_DH5alpha_pSeva221_SrpR_S3.csv,DH5alpha,pSeva221,SrpR_S3
2,10,0.45,Interop_DH5alpha_pSeva221_SrpR_S3.csv,DH5alpha,pSeva221,SrpR_S3
3,20,0.16,Interop_DH5alpha_pSeva221_SrpR_S3.csv,DH5alpha,pSeva221,SrpR_S3
4,30,0.03,Interop_DH5alpha_pSeva221_SrpR_S3.csv,DH5alpha,pSeva221,SrpR_S3
5,40,0.02,Interop_DH5alpha_pSeva221_SrpR_S3.csv,DH5alpha,pSeva221,SrpR_S3
6,70,-0.01,Interop_DH5alpha_pSeva221_SrpR_S3.csv,DH5alpha,pSeva221,SrpR_S3
7,100,-0.01,Interop_DH5alpha_pSeva221_SrpR_S3.csv,DH5alpha,pSeva221,SrpR_S3
8,200,-0.01,Interop_DH5alpha_pSeva221_SrpR_S3.csv,DH5alpha,pSeva221,SrpR_S3
9,500,-0.01,Interop_DH5alpha_pSeva221_SrpR_S3.csv,DH5alpha,pSeva221,SrpR_S3
10,1000,-0.01,Interop_DH5alpha_pSeva221_SrpR_S3.csv,DH5alpha,pSeva221,SrpR_S3
11,2000,0.0,Interop_DH5alpha_pSeva221_SrpR_S3.csv,DH5alpha,pSeva221,SrpR_S3
0,1,1.99,Interop_DH5alpha_pAN_LmrA_N1.csv,DH5alpha,pAN,LmrA_N1
1,5,1.1,Interop_DH5alpha_pAN_LmrA_N1.csv,DH5alpha,pAN,LmrA_N1
2,10,0.77,Interop_DH5alpha_pAN_LmrA_N1.csv,DH5alpha,pAN,LmrA_N1
3,20,0.39,Interop_DH5alpha_pAN_LmrA_N1.csv,DH5alpha,pAN,LmrA_N1
4,30,0.29,Interop_DH5alpha_pAN_LmrA_N1.csv,DH5alpha,pAN,LmrA_N1
5,40,0.3,Interop_DH5alpha_pAN_LmrA_N1.csv,DH5alpha,pAN,LmrA_N1
6,70,0.29,Interop_DH5alpha_pAN_LmrA_N1.csv,DH5alpha,pAN,LmrA_N1
7,100,0.36,Interop_DH5alpha_pAN_LmrA_N1.csv,DH5alpha,pAN,LmrA_N1
8,200,0.34,Interop_DH5alpha_pAN_LmrA_N1.csv,DH5alpha,pAN,LmrA_N1
9,500,0.35,Interop_DH5alpha_pAN_LmrA_N1.csv,DH5alpha,pAN,LmrA_N1
10,1000,0.32,Interop_DH5alpha_pAN_LmrA_N1.csv,DH5alpha,pAN,LmrA_N1
11,2000,0.46,Interop_DH5alpha_pAN_LmrA_N1.csv,DH5alpha,pAN,LmrA_N1
0,1,3.8,Interop_CC118Lpir_pSeva221_SrpR_S2.csv,CC118Lpir,pSeva221,SrpR_S2
1,5,2.4,Interop_CC118Lpir_pSeva221_SrpR_S2.csv,CC118Lpir,pSeva221,SrpR_S2
2,10,0.5,Interop_CC118Lpir_pSeva221_SrpR_S2.csv,CC118Lpir,pSeva221,SrpR_S2
3,20,0.3,Interop_CC118Lpir_pSeva221_SrpR_S2.csv,CC118Lpir,pSeva221,SrpR_S2
4,30,0.0,Interop_CC118Lpir_pSeva221_SrpR_S2.csv,CC118Lpir,pSeva221,SrpR_S2
5,40,0.0,Interop_CC118Lpir_pSeva221_SrpR_S2.csv,CC118Lpir,pSeva221,SrpR_S2
6,70,0.0,Interop_CC118Lpir_pSeva221_SrpR_S2.csv,CC118Lpir,pSeva221,SrpR_S2
7,100,0.1,Interop_CC118Lpir_pSeva221_SrpR_S2.csv,CC118Lpir,pSeva221,SrpR_S2
8,200,0.0,Interop_CC118Lpir_pSeva221_SrpR_S2.csv,CC118Lpir,pSeva221,SrpR_S2
9,500,0.3,Interop_CC118Lpir_pSeva221_SrpR_S2.csv,CC118Lpir,pSeva221,SrpR_S2
10,1000,0.0,Interop_CC118Lpir_pSeva221_SrpR_S2.csv,CC118Lpir,pSeva221,SrpR_S2
11,2000,0.2,Interop_CC118Lpir_pSeva221_SrpR_S2.csv,CC118Lpir,pSeva221,SrpR_S2
0,1,2.31,Interop_DH5alpha_pAN_HIyIIR_H1.csv,DH5alpha,pAN,HIyIIR_H1
1,5,1.1,Interop_DH5alpha_pAN_HIyIIR_H1.csv,DH5alpha,pAN,HIyIIR_H1
2,10,0.54,Interop_DH5alpha_pAN_HIyIIR_H1.csv,DH5alpha,pAN,HIyIIR_H1
3,20,0.25,Interop_DH5alpha_pAN_HIyIIR_H1.csv,DH5alpha,pAN,HIyIIR_H1
4,30,0.21,Interop_DH5alpha_pAN_HIyIIR_H1.csv,DH5alpha,pAN,HIyIIR_H1
5,40,0.21,Interop_DH5alpha_pAN_HIyIIR_H1.csv,DH5alpha,pAN,HIyIIR_H1
6,70,0.23,Interop_DH5alpha_pAN_HIyIIR_H1.csv,DH5alpha,pAN,HIyIIR_H1
7,100,0.2,Interop_DH5alpha_pAN_HIyIIR_H1.csv,DH5alpha,pAN,HIyIIR_H1
8,200,0.22,Interop_DH5alpha_pAN_HIyIIR_H1.csv,DH5alpha,pAN,HIyIIR_H1
9,500,0.21,Interop_DH5alpha_pAN_HIyIIR_H1.csv,DH5alpha,pAN,HIyIIR_H1
10,1000,0.21,Interop_DH5alpha_pAN_HIyIIR_H1.csv,DH5alpha,pAN,HIyIIR_H1
11,2000,0.26,Interop_DH5alpha_pAN_HIyIIR_H1.csv,DH5alpha,pAN,HIyIIR_H1
0,1,8.44,Interop_CC118Lpir_pSeva231_AmtR_A1.csv,CC118Lpir,pSeva231,AmtR_A1
1,5,1.17,Interop_CC118Lpir_pSeva231_AmtR_A1.csv,CC118Lpir,pSeva231,AmtR_A1
2,10,0.6,Interop_CC118Lpir_pSeva231_AmtR_A1.csv,CC118Lpir,pSeva231,AmtR_A1
3,20,0.06,Interop_CC118Lpir_pSeva231_AmtR_A1.csv,CC118Lpir,pSeva231,AmtR_A1
4,30,0.03,Interop_CC118Lpir_pSeva231_AmtR_A1.csv,CC118Lpir,pSeva231,AmtR_A1
5,40,0.03,Interop_CC118Lpir_pSeva231_AmtR_A1.csv,CC118Lpir,pSeva231,AmtR_A1
6,70,-0.03,Interop_CC118Lpir_pSeva231_AmtR_A1.csv,CC118Lpir,pSeva231,AmtR_A1
7,100,-0.03,Interop_CC118Lpir_pSeva231_AmtR_A1.csv,CC118Lpir,pSeva231,AmtR_A1
8,200,0.03,Interop_CC118Lpir_pSeva231_AmtR_A1.csv,CC118Lpir,pSeva231,AmtR_A1
9,500,-0.06,Interop_CC118Lpir_pSeva231_AmtR_A1.csv,CC118Lpir,pSeva231,AmtR_A1
10,1000,-0.03,Interop_CC118Lpir_pSeva231_AmtR_A1.csv,CC118Lpir,pSeva231,AmtR_A1
11,2000,0.06,Interop_CC118Lpir_pSeva231_AmtR_A1.csv,CC118Lpir,pSeva231,AmtR_A1
0,1,0.62,Interop_DH5alpha_pSeva221_BmR3R1_B3.csv,DH5alpha,pSeva221,BmR3R1_B3
1,5,0.53,Interop_DH5alpha_pSeva221_BmR3R1_B3.csv,DH5alpha,pSeva221,BmR3R1_B3
2,10,0.46,Interop_DH5alpha_pSeva221_BmR3R1_B3.csv,DH5alpha,pSeva221,BmR3R1_B3
3,20,0.29,Interop_DH5alpha_pSeva221_BmR3R1_B3.csv,DH5alpha,pSeva221,BmR3R1_B3
4,30,0.15,Interop_DH5alpha_pSeva221_BmR3R1_B3.csv,DH5alpha,pSeva221,BmR3R1_B3
5,40,0.08,Interop_DH5alpha_pSeva221_BmR3R1_B3.csv,DH5alpha,pSeva221,BmR3R1_B3
6,70,0.01,Interop_DH5alpha_pSeva221_BmR3R1_B3.csv,DH5alpha,pSeva221,BmR3R1_B3
7,100,0.01,Interop_DH5alpha_pSeva221_BmR3R1_B3.csv,DH5alpha,pSeva221,BmR3R1_B3
8,200,-0.01,Interop_DH5alpha_pSeva221_BmR3R1_B3.csv,DH5alpha,pSeva221,BmR3R1_B3
9,500,0.0,Interop_DH5alpha_pSeva221_BmR3R1_B3.csv,DH5alpha,pSeva221,BmR3R1_B3
10,1000,0.01,Interop_DH5alpha_pSeva221_BmR3R1_B3.csv,DH5alpha,pSeva221,BmR3R1_B3
11,2000,0.01,Interop_DH5alpha_pSeva221_BmR3R1_B3.csv,DH5alpha,pSeva221,BmR3R1_B3
0,1,2.03,Interop_KT2440_pSeva231_BetI_E1.csv,KT2440,pSeva231,BetI_E1
1,5,2.06,Interop_KT2440_pSeva231_BetI_E1.csv,KT2440,pSeva231,BetI_E1
2,10,2.06,Interop_KT2440_pSeva231_BetI_E1.csv,KT2440,pSeva231,BetI_E1
3,20,2.09,Interop_KT2440_pSeva231_BetI_E1.csv,KT2440,pSeva231,BetI_E1
4,30,2.1,Interop_KT2440_pSeva231_BetI_E1.csv,KT2440,pSeva231,BetI_E1
5,40,2.05,Interop_KT2440_pSeva231_BetI_E1.csv,KT2440,pSeva231,BetI_E1
6,70,1.99,Interop_KT2440_pSeva231_BetI_E1.csv,KT2440,pSeva231,BetI_E1
7,100,2.1,Interop_KT2440_pSeva231_BetI_E1.csv,KT2440,pSeva231,BetI_E1
8,200,1.93,Interop_KT2440_pSeva231_BetI_E1.csv,KT2440,pSeva231,BetI_E1
9,500,1.73,Interop_KT2440_pSeva231_BetI_E1.csv,KT2440,pSeva231,BetI_E1
10,1000,1.67,Interop_KT2440_pSeva231_BetI_E1.csv,KT2440,pSeva231,BetI_E1
11,2000,1.58,Interop_KT2440_pSeva231_BetI_E1.csv,KT2440,pSeva231,BetI_E1
0,1,1.6,Interop_CC118Lpir_pSeva221_SrpR_S1.csv,CC118Lpir,pSeva221,SrpR_S1
1,5,0.2,Interop_CC118Lpir_pSeva221_SrpR_S1.csv,CC118Lpir,pSeva221,SrpR_S1
2,10,0.0,Interop_CC118Lpir_pSeva221_SrpR_S1.csv,CC118Lpir,pSeva221,SrpR_S1
3,20,0.0,Interop_CC118Lpir_pSeva221_SrpR_S1.csv,CC118Lpir,pSeva221,SrpR_S1
4,30,0.1,Interop_CC118Lpir_pSeva221_SrpR_S1.csv,CC118Lpir,pSeva221,SrpR_S1
5,40,0.2,Interop_CC118Lpir_pSeva221_SrpR_S1.csv,CC118Lpir,pSeva221,SrpR_S1
6,70,0.1,Interop_CC118Lpir_pSeva221_SrpR_S1.csv,CC118Lpir,pSeva221,SrpR_S1
7,100,0.3,Interop_CC118Lpir_pSeva221_SrpR_S1.csv,CC118Lpir,pSeva221,SrpR_S1
8,200,0.0,Interop_CC118Lpir_pSeva221_SrpR_S1.csv,CC118Lpir,pSeva221,SrpR_S1
9,500,0.3,Interop_CC118Lpir_pSeva221_SrpR_S1.csv,CC118Lpir,pSeva221,SrpR_S1
10,1000,0.2,Interop_CC118Lpir_pSeva221_SrpR_S1.csv,CC118Lpir,pSeva221,SrpR_S1
11,2000,0.3,Interop_CC118Lpir_pSeva221_SrpR_S1.csv,CC118Lpir,pSeva221,SrpR_S1
0,1,0.1,Interop_CC118Lpir_pSeva221_HIyIIR_H1.csv,CC118Lpir,pSeva221,HIyIIR_H1
1,5,-0.1,Interop_CC118Lpir_pSeva221_HIyIIR_H1.csv,CC118Lpir,pSeva221,HIyIIR_H1
2,10,-0.1,Interop_CC118Lpir_pSeva221_HIyIIR_H1.csv,CC118Lpir,pSeva221,HIyIIR_H1
3,20,-0.1,Interop_CC118Lpir_pSeva221_HIyIIR_H1.csv,CC118Lpir,pSeva221,HIyIIR_H1
4,30,-0.1,Interop_CC118Lpir_pSeva221_HIyIIR_H1.csv,CC118Lpir,pSeva221,HIyIIR_H1
5,40,0.0,Interop_CC118Lpir_pSeva221_HIyIIR_H1.csv,CC118Lpir,pSeva221,HIyIIR_H1
6,70,-0.2,Interop_CC118Lpir_pSeva221_HIyIIR_H1.csv,CC118Lpir,pSeva221,HIyIIR_H1
7,100,-0.2,Interop_CC118Lpir_pSeva221_HIyIIR_H1.csv,CC118Lpir,pSeva221,HIyIIR_H1
8,200,-0.1,Interop_CC118Lpir_pSeva221_HIyIIR_H1.csv,CC118Lpir,pSeva221,HIyIIR_H1
9,500,-0.1,Interop_CC118Lpir_pSeva221_HIyIIR_H1.csv,CC118Lpir,pSeva221,HIyIIR_H1
10,1000,-0.1,Interop_CC118Lpir_pSeva221_HIyIIR_H1.csv,CC118Lpir,pSeva221,HIyIIR_H1
11,2000,0.2,Interop_CC118Lpir_pSeva221_HIyIIR_H1.csv,CC118Lpir,pSeva221,HIyIIR_H1
0,1,0.68,Interop_DH5alpha_pAN_SrpR_S1.csv,DH5alpha,pAN,SrpR_S1
1,5,0.11,Interop_DH5alpha_pAN_SrpR_S1.csv,DH5alpha,pAN,SrpR_S1
2,10,0.07,Interop_DH5alpha_pAN_SrpR_S1.csv,DH5alpha,pAN,SrpR_S1
3,20,0.06,Interop_DH5alpha_pAN_SrpR_S1.csv,DH5alpha,pAN,SrpR_S1
4,30,0.06,Interop_DH5alpha_pAN_SrpR_S1.csv,DH5alpha,pAN,SrpR_S1
5,40,0.07,Interop_DH5alpha_pAN_SrpR_S1.csv,DH5alpha,pAN,SrpR_S1
6,70,0.07,Interop_DH5alpha_pAN_SrpR_S1.csv,DH5alpha,pAN,SrpR_S1
7,100,0.08,Interop_DH5alpha_pAN_SrpR_S1.csv,DH5alpha,pAN,SrpR_S1
8,200,0.1,Interop_DH5alpha_pAN_SrpR_S1.csv,DH5alpha,pAN,SrpR_S1
9,500,0.06,Interop_DH5alpha_pAN_SrpR_S1.csv,DH5alpha,pAN,SrpR_S1
10,1000,0.09,Interop_DH5alpha_pAN_SrpR_S1.csv,DH5alpha,pAN,SrpR_S1
11,2000,0.11,Interop_DH5alpha_pAN_SrpR_S1.csv,DH5alpha,pAN,SrpR_S1
0,1,1.2,Interop_KT2440_pSeva221_SrpR_S1.csv,KT2440,pSeva221,SrpR_S1
1,5,0.93,Interop_KT2440_pSeva221_SrpR_S1.csv,KT2440,pSeva221,SrpR_S1
2,10,0.89,Interop_KT2440_pSeva221_SrpR_S1.csv,KT2440,pSeva221,SrpR_S1
3,20,0.9,Interop_KT2440_pSeva221_SrpR_S1.csv,KT2440,pSeva221,SrpR_S1
4,30,0.78,Interop_KT2440_pSeva221_SrpR_S1.csv,KT2440,pSeva221,SrpR_S1
5,40,0.75,Interop_KT2440_pSeva221_SrpR_S1.csv,KT2440,pSeva221,SrpR_S1
6,70,0.65,Interop_KT2440_pSeva221_SrpR_S1.csv,KT2440,pSeva221,SrpR_S1
7,100,0.63,Interop_KT2440_pSeva221_SrpR_S1.csv,KT2440,pSeva221,SrpR_S1
8,200,0.5,Interop_KT2440_pSeva221_SrpR_S1.csv,KT2440,pSeva221,SrpR_S1
9,500,0.34,Interop_KT2440_pSeva221_SrpR_S1.csv,KT2440,pSeva221,SrpR_S1
10,1000,0.21,Interop_KT2440_pSeva221_SrpR_S1.csv,KT2440,pSeva221,SrpR_S1
11,2000,0.1,Interop_KT2440_pSeva221_SrpR_S1.csv,KT2440,pSeva221,SrpR_S1
0,1,0.71,Interop_KT2440_pSeva251_QacR_Q1.csv,KT2440,pSeva251,QacR_Q1
1,5,0.74,Interop_KT2440_pSeva251_QacR_Q1.csv,KT2440,pSeva251,QacR_Q1
2,10,0.73,Interop_KT2440_pSeva251_QacR_Q1.csv,KT2440,pSeva251,QacR_Q1
3,20,0.73,Interop_KT2440_pSeva251_QacR_Q1.csv,KT2440,pSeva251,QacR_Q1
4,30,0.77,Interop_KT2440_pSeva251_QacR_Q1.csv,KT2440,pSeva251,QacR_Q1
5,40,0.76,Interop_KT2440_pSeva251_QacR_Q1.csv,KT2440,pSeva251,QacR_Q1
6,70,0.76,Interop_KT2440_pSeva251_QacR_Q1.csv,KT2440,pSeva251,QacR_Q1
7,100,0.79,Interop_KT2440_pSeva251_QacR_Q1.csv,KT2440,pSeva251,QacR_Q1
8,200,0.68,Interop_KT2440_pSeva251_QacR_Q1.csv,KT2440,pSeva251,QacR_Q1
9,500,0.58,Interop_KT2440_pSeva251_QacR_Q1.csv,KT2440,pSeva251,QacR_Q1
10,1000,0.44,Interop_KT2440_pSeva251_QacR_Q1.csv,KT2440,pSeva251,QacR_Q1
11,2000,0.28,Interop_KT2440_pSeva251_QacR_Q1.csv,KT2440,pSeva251,QacR_Q1
0,1,7.9,Interop_CC118Lpir_pSeva221_PsrA_R1.csv,CC118Lpir,pSeva221,PsrA_R1
1,5,2.3,Interop_CC118Lpir_pSeva221_PsrA_R1.csv,CC118Lpir,pSeva221,PsrA_R1
2,10,1.2,Interop_CC118Lpir_pSeva221_PsrA_R1.csv,CC118Lpir,pSeva221,PsrA_R1
3,20,0.2,Interop_CC118Lpir_pSeva221_PsrA_R1.csv,CC118Lpir,pSeva221,PsrA_R1
4,30,0.0,Interop_CC118Lpir_pSeva221_PsrA_R1.csv,CC118Lpir,pSeva221,PsrA_R1
5,40,0.0,Interop_CC118Lpir_pSeva221_PsrA_R1.csv,CC118Lpir,pSeva221,PsrA_R1
6,70,0.1,Interop_CC118Lpir_pSeva221_PsrA_R1.csv,CC118Lpir,pSeva221,PsrA_R1
7,100,0.2,Interop_CC118Lpir_pSeva221_PsrA_R1.csv,CC118Lpir,pSeva221,PsrA_R1
8,200,0.0,Interop_CC118Lpir_pSeva221_PsrA_R1.csv,CC118Lpir,pSeva221,PsrA_R1
9,500,-0.2,Interop_CC118Lpir_pSeva221_PsrA_R1.csv,CC118Lpir,pSeva221,PsrA_R1
10,1000,0.2,Interop_CC118Lpir_pSeva221_PsrA_R1.csv,CC118Lpir,pSeva221,PsrA_R1
11,2000,0.8,Interop_CC118Lpir_pSeva221_PsrA_R1.csv,CC118Lpir,pSeva221,PsrA_R1
0,1,22.61,Interop_KT2440_pSeva221_PhIF_P2.csv,KT2440,pSeva221,PhIF_P2
1,5,19.92,Interop_KT2440_pSeva221_PhIF_P2.csv,KT2440,pSeva221,PhIF_P2
2,10,19.81,Interop_KT2440_pSeva221_PhIF_P2.csv,KT2440,pSeva221,PhIF_P2
3,20,17.66,Interop_KT2440_pSeva221_PhIF_P2.csv,KT2440,pSeva221,PhIF_P2
4,30,18.52,Interop_KT2440_pSeva221_PhIF_P2.csv,KT2440,pSeva221,PhIF_P2
5,40,14.97,Interop_KT2440_pSeva221_PhIF_P2.csv,KT2440,pSeva221,PhIF_P2
6,70,17.66,Interop_KT2440_pSeva221_PhIF_P2.csv,KT2440,pSeva221,PhIF_P2
7,100,16.47,Interop_KT2440_pSeva221_PhIF_P2.csv,KT2440,pSeva221,PhIF_P2
8,200,15.72,Interop_KT2440_pSeva221_PhIF_P2.csv,KT2440,pSeva221,PhIF_P2
9,500,16.04,Interop_KT2440_pSeva221_PhIF_P2.csv,KT2440,pSeva221,PhIF_P2
10,1000,14.75,Interop_KT2440_pSeva221_PhIF_P2.csv,KT2440,pSeva221,PhIF_P2
11,2000,14.75,Interop_KT2440_pSeva221_PhIF_P2.csv,KT2440,pSeva221,PhIF_P2
0,1,3.75,Interop_DH5alpha_pAN_BetI_E1.csv,DH5alpha,pAN,BetI_E1
1,5,3.12,Interop_DH5alpha_pAN_BetI_E1.csv,DH5alpha,pAN,BetI_E1
2,10,1.84,Interop_DH5alpha_pAN_BetI_E1.csv,DH5alpha,pAN,BetI_E1
3,20,0.9,Interop_DH5alpha_pAN_BetI_E1.csv,DH5alpha,pAN,BetI_E1
4,30,0.41,Interop_DH5alpha_pAN_BetI_E1.csv,DH5alpha,pAN,BetI_E1
5,40,0.38,Interop_DH5alpha_pAN_BetI_E1.csv,DH5alpha,pAN,BetI_E1
6,70,0.3,Interop_DH5alpha_pAN_BetI_E1.csv,DH5alpha,pAN,BetI_E1
7,100,0.38,Interop_DH5alpha_pAN_BetI_E1.csv,DH5alpha,pAN,BetI_E1
8,200,0.32,Interop_DH5alpha_pAN_BetI_E1.csv,DH5alpha,pAN,BetI_E1
9,500,0.35,Interop_DH5alpha_pAN_BetI_E1.csv,DH5alpha,pAN,BetI_E1
10,1000,0.34,Interop_DH5alpha_pAN_BetI_E1.csv,DH5alpha,pAN,BetI_E1
11,2000,0.41,Interop_DH5alpha_pAN_BetI_E1.csv,DH5alpha,pAN,BetI_E1
0,1,0.71,Interop_DH5alpha_pAN_Bm3R1_B3.csv,DH5alpha,pAN,Bm3R1_B3
1,5,0.55,Interop_DH5alpha_pAN_Bm3R1_B3.csv,DH5alpha,pAN,Bm3R1_B3
2,10,0.37,Interop_DH5alpha_pAN_Bm3R1_B3.csv,DH5alpha,pAN,Bm3R1_B3
3,20,0.29,Interop_DH5alpha_pAN_Bm3R1_B3.csv,DH5alpha,pAN,Bm3R1_B3
4,30,0.28,Interop_DH5alpha_pAN_Bm3R1_B3.csv,DH5alpha,pAN,Bm3R1_B3
5,40,0.28,Interop_DH5alpha_pAN_Bm3R1_B3.csv,DH5alpha,pAN,Bm3R1_B3
6,70,0.28,Interop_DH5alpha_pAN_Bm3R1_B3.csv,DH5alpha,pAN,Bm3R1_B3
7,100,0.26,Interop_DH5alpha_pAN_Bm3R1_B3.csv,DH5alpha,pAN,Bm3R1_B3
8,200,0.25,Interop_DH5alpha_pAN_Bm3R1_B3.csv,DH5alpha,pAN,Bm3R1_B3
9,500,0.29,Interop_DH5alpha_pAN_Bm3R1_B3.csv,DH5alpha,pAN,Bm3R1_B3
10,1000,0.28,Interop_DH5alpha_pAN_Bm3R1_B3.csv,DH5alpha,pAN,Bm3R1_B3
11,2000,0.39,Interop_DH5alpha_pAN_Bm3R1_B3.csv,DH5alpha,pAN,Bm3R1_B3
0,1,1.51,Interop_DH5alpha_pAN_SrpR_S4.csv,DH5alpha,pAN,SrpR_S4
1,5,0.98,Interop_DH5alpha_pAN_SrpR_S4.csv,DH5alpha,pAN,SrpR_S4
2,10,0.73,Interop_DH5alpha_pAN_SrpR_S4.csv,DH5alpha,pAN,SrpR_S4
3,20,0.44,Interop_DH5alpha_pAN_SrpR_S4.csv,DH5alpha,pAN,SrpR_S4
4,30,0.13,Interop_DH5alpha_pAN_SrpR_S4.csv,DH5alpha,pAN,SrpR_S4
5,40,0.11,Interop_DH5alpha_pAN_SrpR_S4.csv,DH5alpha,pAN,SrpR_S4
6,70,0.07,Interop_DH5alpha_pAN_SrpR_S4.csv,DH5alpha,pAN,SrpR_S4
7,100,0.07,Interop_DH5alpha_pAN_SrpR_S4.csv,DH5alpha,pAN,SrpR_S4
8,200,0.12,Interop_DH5alpha_pAN_SrpR_S4.csv,DH5alpha,pAN,SrpR_S4
9,500,0.07,Interop_DH5alpha_pAN_SrpR_S4.csv,DH5alpha,pAN,SrpR_S4
10,1000,0.09,Interop_DH5alpha_pAN_SrpR_S4.csv,DH5alpha,pAN,SrpR_S4
11,2000,0.08,Interop_DH5alpha_pAN_SrpR_S4.csv,DH5alpha,pAN,SrpR_S4
0,1,6.32,Interop_DH5alpha_pSeva221_PhIF_P1.csv,DH5alpha,pSeva221,PhIF_P1
