,iptg,median_yfp,filename,strain,backbone,plasmid
2,10,0.7,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
3,20,0.1,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
4,30,0.1,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
5,40,0.0,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
6,70,-0.1,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
7,100,0.1,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
8,200,0.0,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
9,500,-0.1,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
10,1000,-0.2,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
11,2000,0.0,Interop_CC118Lpir_pSeva221_AmtR_A1.csv,CC118Lpir,pSeva221,AmtR_A1
0,1,2.14,Interop_DH5alpha_pAN_LcaRA_I1.csv,DH5alpha,pAN,LcaRA_I1
1,5,1.17,Interop_DH5alpha_pAN_LcaRA_I1.csv,DH5alpha,pAN,LcaRA_I1
2,10,1.46,Interop_DH5alpha_pAN_LcaRA_I1.csv,DH5alpha,pAN,LcaRA_I1
3,20,0.42,Interop_DH5alpha_pAN_LcaRA_I1.csv,DH5alpha,pAN,LcaRA_I1
4,30,0.34,Interop_DH5alpha_pAN_LcaRA_I1.csv,DH5alpha,pAN,LcaRA_I1
5,40,0.31,Interop_DH5alpha_pAN_LcaRA_I1.csv,DH5alpha,pAN,LcaRA_I1
6,70,0.29,Interop_DH5alpha_pAN_LcaRA_I1.csv,DH5alpha,pAN,LcaRA_I1
7,100,0.29,Interop_DH5alpha_pAN_LcaRA_I1.csv,DH5alpha,pAN,LcaRA_I1
8,200,0.29,Interop_DH5alpha_pAN_LcaRA_I1.csv,DH5alpha,pAN,LcaRA_I1
9,500,0.26,Interop_DH5alpha_pAN_LcaRA_I1.csv,DH5alpha,pAN,LcaRA_I1
10,1000,0.26,Interop_DH5alpha_pAN_LcaRA_I1.csv,DH5alpha,pAN,LcaRA_I1
11,2000,0.27,Interop_DH5alpha_pAN_LcaRA_I1.csv,DH5alpha,pAN,LcaRA_I1
0,1,5.16,Interop_KT2440_pSeva221_QacR_Q2.csv,KT2440,pSeva221,QacR_Q2
1,5,4.21,Interop_KT2440_pSeva221_QacR_Q2.csv,KT2440,pSeva221,QacR_Q2
2,10,4.07,Interop_KT2440_pSeva221_QacR_Q2.csv,KT2440,pSeva221,QacR_Q2
3,20,4.46,Interop_KT2440_pSeva221_QacR_Q2.csv,KT2440,pSeva221,QacR_Q2
4,30,3.81,Interop_KT2440_pSeva221_QacR_Q2.csv,KT2440,pSeva221,QacR_Q2
5,40,3.77,Interop_KT2440_pSeva221_QacR_Q2.csv,KT2440,pSeva221,QacR_Q2
6,70,3.74,Interop_KT2440_pSeva221_QacR_Q2.csv,KT2440,pSeva221,QacR_Q2
7,100,3.46,Interop_KT2440_pSeva221_QacR_Q2.csv,KT2440,pSeva221,QacR_Q2
8,200,3.21,Interop_KT2440_pSeva221_QacR_Q2.csv,KT2440,pSeva221,QacR_Q2
9,500,2.82,Interop_KT2440_pSeva221_QacR_Q2.csv,KT2440,pSeva221,QacR_Q2
10,1000,2.5,Interop_KT2440_pSeva221_QacR_Q2.csv,KT2440,pSeva221,QacR_Q2
11,2000,1.64,Interop_KT2440_pSeva221_QacR_Q2.csv,KT2440,pSeva221,QacR_Q2
0,1,31.0,Interop_CC118Lpir_pSeva221_PhIF_P1.csv,CC118Lpir,pSeva221,PhIF_P1
1,5,24.6,Interop_CC118Lpir_pSeva221_PhIF_P1.csv,CC118Lpir,pSeva221,PhIF_P1
2,10,20.9,Interop_CC118Lpir_pSeva221_PhIF_P1.csv,CC118Lpir,pSeva221,PhIF_P1
3,20,23.5,Interop_CC118Lpir_pSeva221_PhIF_P1.csv,CC118Lpir,pSeva221,PhIF_P1
4,30,23.7,Interop_CC118Lpir_pSeva221_PhIF_P1.csv,CC118Lpir,pSeva221,PhIF_P1
5,40,20.3,Interop_CC118Lpir_pSeva221_PhIF_P1.csv,CC118Lpir,pSeva221,PhIF_P1
6,70,23.1,Interop_CC118Lpir_pSeva221_PhIF_P1.csv,CC118Lpir,pSeva221,PhIF_P1
7,100,28.8,Interop_CC118Lpir_pSeva221_PhIF_P1.csv,CC118Lpir,pSeva221,PhIF_P1
8,200,22.7,Interop_CC118Lpir_pSeva221_PhIF_P1.csv,CC118Lpir,pSeva221,PhIF_P1
9,500,28.7,Interop_CC118Lpir_pSeva221_PhIF_P1.csv,CC118Lpir,pSeva221,PhIF_P1
10,1000,21.4,Interop_CC118Lpir_pSeva221_PhIF_P1.csv,CC118Lpir,pSeva221,PhIF_P1
11,2000,37.2,Interop_CC118Lpir_pSeva221_PhIF_P1.csv,CC118Lpir,pSeva221,PhIF_P1
0,1,0.05,Interop_DH5alpha_pSeva221_SrpR_S1.csv,DH5alpha,pSeva221,SrpR_S1
1,5,-0.01,Interop_DH5alpha_pSeva221_SrpR_S1.csv,DH5alpha,pSeva221,SrpR_S1
2,10,0.0,Interop_DH5alpha_pSeva221_SrpR_S1.csv,DH5alpha,pSeva221,SrpR_S1
3,20,-0.01,Interop_DH5alpha_pSeva221_SrpR_S1.csv,DH5alpha,pSeva221,SrpR_S1
4,30,-0.02,Interop_DH5alpha_pSeva221_SrpR_S1.csv,DH5alpha,pSeva221,SrpR_S1
5,40,-0.01,Interop_DH5alpha_pSeva221_SrpR_S1.csv,DH5alpha,pSeva221,SrpR_S1
6,70,-0.01,Interop_DH5alpha_pSeva221_SrpR_S1.csv,DH5alpha,pSeva221,SrpR_S1
7,100,-0.01,Interop_DH5alpha_pSeva221_SrpR_S1.csv,DH5alpha,pSeva221,SrpR_S1
8,200,-0.01,Interop_DH5alpha_pSeva221_SrpR_S1.csv,DH5alpha,pSeva221,SrpR_S1
9,500,0.0,Interop_DH5alpha_pSeva221_SrpR_S1.csv,DH5alpha,pSeva221,SrpR_S1
10,1000,-0.01,Interop_DH5alpha_pSeva221_SrpR_S1.csv,DH5alpha,pSeva221,SrpR_S1
11,2000,0.01,Interop_DH5alpha_pSeva221_SrpR_S1.csv,DH5alpha,pSeva221,SrpR_S1
0,1,0.26,Interop_DH5alpha_pSeva221_LmrA_N1.csv,DH5alpha,pSeva221,LmrA_N1
1,5,0.14,Interop_DH5alpha_pSeva221_LmrA_N1.csv,DH5alpha,pSeva221,LmrA_N1
2,10,0.05,Interop_DH5alpha_pSeva221_LmrA_N1.csv,DH5alpha,pSeva221,LmrA_N1
3,20,0.01,Interop_DH5alpha_pSeva221_LmrA_N1.csv,DH5alpha,pSeva221,LmrA_N1
4,30,0.0,Interop_DH5alpha_pSeva221_LmrA_N1.csv,DH5alpha,pSeva221,LmrA_N1
5,40,0.0,Interop_DH5alpha_pSeva221_LmrA_N1.csv,DH5alpha,pSeva221,LmrA_N1
