,filename,date,strain,plasmid,backbone,iptg_concentration,median
57,Huseyin2019-09-24.0058.fcs,2019-09-24,KT 2440,AmtR-A1,pSeva221,500,7.146388053894043
58,Huseyin2019-09-24.0059.fcs,2019-09-24,KT 2440,AmtR-A1,pSeva221,1000,4.985982894897461
59,Huseyin2019-09-24.0060.fcs,2019-09-24,KT 2440,AmtR-A1,pSeva221,2000,4.043051242828369
60,Huseyin2019-09-24.0061.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,0,30.161346435546875
61,Huseyin2019-09-24.0062.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,5,25.84722328186035
62,Huseyin2019-09-24.0063.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,10,25.339468002319336
63,Huseyin2019-09-24.0064.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,20,25.129087448120117
64,Huseyin2019-09-24.0065.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,30,24.19637107849121
65,Huseyin2019-09-24.0066.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,40,23.898967742919922
66,Huseyin2019-09-24.0067.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,70,23.760501861572266
67,Huseyin2019-09-24.0068.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,100,23.05974578857422
68,Huseyin2019-09-24.0069.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,200,22.89404296875
69,Huseyin2019-09-24.0070.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,500,21.3909912109375
70,Huseyin2019-09-24.0071.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,1000,18.861454010009766
71,Huseyin2019-09-24.0072.fcs,2019-09-24,KT 2440,BetI-E1,pSeva221,2000,19.229372024536133
72,Huseyin2019-09-24.0073.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,0,12.247836112976074
73,Huseyin2019-09-24.0074.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,5,11.285802841186523
74,Huseyin2019-09-24.0075.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,10,11.759458541870117
75,Huseyin2019-09-24.0076.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,20,11.511634826660156
76,Huseyin2019-09-24.0077.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,30,10.979021072387695
77,Huseyin2019-09-24.0078.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,40,10.774791717529297
78,Huseyin2019-09-24.0079.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,70,11.359027862548828
79,Huseyin2019-09-24.0080.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,100,11.505242347717285
80,Huseyin2019-09-24.0081.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,200,11.206796646118164
81,Huseyin2019-09-24.0082.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,500,11.369301795959473
82,Huseyin2019-09-24.0083.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,1000,11.345787048339844
83,Huseyin2019-09-24.0084.fcs,2019-09-24,KT 2440,BM3R1-B1,pSeva221,2000,10.968091011047363
84,Huseyin2019-09-24.0085.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,0,7.231759548187256
85,Huseyin2019-09-24.0086.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,5,7.150629043579102
86,Huseyin2019-09-24.0087.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,10,6.75642204284668
87,Huseyin2019-09-24.0088.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,20,6.9625349044799805
88,Huseyin2019-09-24.0089.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,30,6.604288101196289
89,Huseyin2019-09-24.0090.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,40,6.582080364227295
90,Huseyin2019-09-24.0091.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,70,6.417970657348633
91,Huseyin2019-09-24.0092.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,100,6.507144451141357
92,Huseyin2019-09-24.0093.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,200,6.192824363708496
93,Huseyin2019-09-24.0094.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,500,5.9434309005737305
94,Huseyin2019-09-24.0095.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,1000,5.703185558319092
95,Huseyin2019-09-24.0096.fcs,2019-09-24,KT 2440,BM3R1-B2,pSeva221,2000,5.299375534057617
96,Huseyin2019-09-24.0101.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,0,3.190248966217041
97,Huseyin2019-09-24.0102.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,5,2.918203353881836
98,Huseyin2019-09-24.0103.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,10,2.7789268493652344
99,Huseyin2019-09-24.0104.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,20,3.356346368789673
100,Huseyin2019-09-24.0105.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,30,2.789498805999756
101,Huseyin2019-09-24.0106.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,40,2.990457057952881
102,Huseyin2019-09-24.0107.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,70,2.9928789138793945
103,Huseyin2019-09-24.0108.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,100,3.406944990158081
104,Huseyin2019-09-24.0109.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,200,3.3128135204315186
105,Huseyin2019-09-24.0110.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,500,3.580876350402832
106,Huseyin2019-09-24.0111.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,1000,3.352503776550293
107,Huseyin2019-09-24.0112.fcs,2019-09-24,KT 2440,BM3R1-B3,pSeva221,2000,3.2121639251708984
108,Huseyin2019-09-24.0113.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,0,5.013637542724609
109,Huseyin2019-09-24.0114.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,5,4.933768272399902
110,Huseyin2019-09-24.0115.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,10,4.832050323486328
111,Huseyin2019-09-24.0116.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,20,4.503825664520264
112,Huseyin2019-09-24.0117.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,30,4.667211532592773
113,Huseyin2019-09-24.0118.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,40,4.494537353515625
114,Huseyin2019-09-24.0119.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,70,4.22979211807251
115,Huseyin2019-09-24.0120.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,100,4.060160160064697
116,Huseyin2019-09-24.0121.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,200,3.4820005893707275
117,Huseyin2019-09-24.0122.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,500,2.3831353187561035
118,Huseyin2019-09-24.0123.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,1000,1.6460871696472168
119,Huseyin2019-09-24.0124.fcs,2019-09-24,KT 2440,HIyIIR-H1,pSeva221,2000,1.2508492469787598
120,Huseyin2019-09-24.0125.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,0,38.13226318359375
121,Huseyin2019-09-24.0126.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,5,34.44826126098633
122,Huseyin2019-09-24.0127.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,10,32.55009078979492
123,Huseyin2019-09-24.0128.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,20,30.766036987304688
124,Huseyin2019-09-24.0129.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,30,28.90182113647461
125,Huseyin2019-09-24.0130.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,40,28.07929039001465
126,Huseyin2019-09-24.0131.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,70,27.394994735717773
127,Huseyin2019-09-24.0132.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,100,23.501766204833984
128,Huseyin2019-09-24.0133.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,200,18.59630584716797
129,Huseyin2019-09-24.0134.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,500,12.489042282104492
130,Huseyin2019-09-24.0135.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,1000,8.322352409362793
131,Huseyin2019-09-24.0136.fcs,2019-09-24,KT 2440,lcaRA-I1,pSeva221,2000,5.329651832580566
132,Huseyin2019-09-24.0137.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,0,79.64567565917969
133,Huseyin2019-09-24.0138.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,5,59.86632537841797
134,Huseyin2019-09-24.0139.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,10,59.55888366699219
135,Huseyin2019-09-24.0140.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,20,53.69179153442383
136,Huseyin2019-09-24.0141.fcs,2019-09-24,KT 2440,LitR-L1,pSeva221,30,48.934814453125
