,filename,date,strain,plasmid,backbone,iptg_concentration,median
240,Huseyin2019-09-24.0249.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,0,12.038951873779297
241,Huseyin2019-09-24.0250.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,5,10.319775581359863
242,Huseyin2019-09-24.0251.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,10,10.042983055114746
243,Huseyin2019-09-24.0252.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,20,10.709131240844727
244,Huseyin2019-09-24.0253.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,30,9.197406768798828
245,Huseyin2019-09-24.0254.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,40,9.181446075439453
246,Huseyin2019-09-24.0255.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,70,8.799631118774414
247,Huseyin2019-09-24.0256.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,100,8.69254207611084
248,Huseyin2019-09-24.0257.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,200,8.460747718811035
249,Huseyin2019-09-24.0258.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,500,7.517881870269775
250,Huseyin2019-09-24.0259.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,1000,5.694901466369629
251,Huseyin2019-09-24.0260.fcs,2019-09-24,KT 2440,SrpR-S2,pSeva221,2000,3.8919129371643066
252,Huseyin2019-09-24.0261.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,0,11.488359451293945
253,Huseyin2019-09-24.0262.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,5,9.812049865722656
254,Huseyin2019-09-24.0263.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,10,9.693498611450195
255,Huseyin2019-09-24.0264.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,20,9.261711120605469
256,Huseyin2019-09-24.0265.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,30,8.667278289794922
257,Huseyin2019-09-24.0266.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,40,8.424298286437988
258,Huseyin2019-09-24.0267.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,70,8.240663528442383
259,Huseyin2019-09-24.0268.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,100,7.914277076721191
260,Huseyin2019-09-24.0269.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,200,6.57554292678833
261,Huseyin2019-09-24.0270.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,500,4.858920097351074
262,Huseyin2019-09-24.0271.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,1000,3.4216670989990234
263,Huseyin2019-09-24.0272.fcs,2019-09-24,KT 2440,SrpR-S3,pSeva221,2000,2.2862584590911865
264,Huseyin2019-09-24.0273.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,0,11.008718490600586
265,Huseyin2019-09-24.0274.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,5,10.078699111938477
266,Huseyin2019-09-24.0275.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,10,9.928446769714355
267,Huseyin2019-09-24.0276.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,20,9.243608474731445
268,Huseyin2019-09-24.0277.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,30,8.909965515136719
269,Huseyin2019-09-24.0278.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,40,8.650273323059082
270,Huseyin2019-09-24.0279.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,70,8.39428997039795
271,Huseyin2019-09-24.0280.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,100,8.221656799316406
272,Huseyin2019-09-24.0281.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,200,7.3767595291137695
273,Huseyin2019-09-24.0282.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,500,6.0230488777160645
274,Huseyin2019-09-24.0283.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,1000,4.807580947875977
275,Huseyin2019-09-24.0284.fcs,2019-09-24,KT 2440,SrpR-S4,pSeva221,2000,3.4194791316986084
288,Huseyin2019-09-25.0001.fcs,2019-09-25,DH5α,1201,pAN,0,1.109484076499939
289,Huseyin2019-09-25.0002.fcs,2019-09-25,DH5α,1201,pAN,5,1.140821933746338
290,Huseyin2019-09-25.0003.fcs,2019-09-25,DH5α,1201,pAN,10,1.0867021083831787
291,Huseyin2019-09-25.0004.fcs,2019-09-25,DH5α,1201,pAN,20,1.0804136991500854
292,Huseyin2019-09-25.0005.fcs,2019-09-25,DH5α,1201,pAN,30,1.0650968551635742
293,Huseyin2019-09-25.0006.fcs,2019-09-25,DH5α,1201,pAN,40,1.0627174377441406
294,Huseyin2019-09-25.0007.fcs,2019-09-25,DH5α,1201,pAN,70,1.0660035610198975
295,Huseyin2019-09-25.0008.fcs,2019-09-25,DH5α,1201,pAN,100,1.0685492753982544
296,Huseyin2019-09-25.0009.fcs,2019-09-25,DH5α,1201,pAN,200,1.0663586854934692
297,Huseyin2019-09-25.0010.fcs,2019-09-25,DH5α,1201,pAN,500,1.0861080884933472
298,Huseyin2019-09-25.0011.fcs,2019-09-25,DH5α,1201,pAN,1000,1.0483161211013794
299,Huseyin2019-09-25.0012.fcs,2019-09-25,DH5α,1201,pAN,2000,1.1418025493621826
300,Huseyin2019-09-25.0013.fcs,2019-09-25,DH5α,1717,pAN,0,1.7269378900527954
301,Huseyin2019-09-25.0014.fcs,2019-09-25,DH5α,1717,pAN,5,1.5439505577087402
302,Huseyin2019-09-25.0015.fcs,2019-09-25,DH5α,1717,pAN,10,1.4584475755691528
303,Huseyin2019-09-25.0016.fcs,2019-09-25,DH5α,1717,pAN,20,1.5980600118637085
304,Huseyin2019-09-25.0017.fcs,2019-09-25,DH5α,1717,pAN,30,1.835437297821045
305,Huseyin2019-09-25.0018.fcs,2019-09-25,DH5α,1717,pAN,40,1.5101001262664795
306,Huseyin2019-09-25.0019.fcs,2019-09-25,DH5α,1717,pAN,70,1.326024055480957
307,Huseyin2019-09-25.0020.fcs,2019-09-25,DH5α,1717,pAN,100,1.3946900367736816
308,Huseyin2019-09-25.0021.fcs,2019-09-25,DH5α,1717,pAN,200,1.76161527633667
309,Huseyin2019-09-25.0022.fcs,2019-09-25,DH5α,1717,pAN,500,1.547294020652771
310,Huseyin2019-09-25.0023.fcs,2019-09-25,DH5α,1717,pAN,1000,1.4707077741622925
311,Huseyin2019-09-25.0024.fcs,2019-09-25,DH5α,1717,pAN,2000,1.9625210762023926
312,Huseyin2019-09-25.0025.fcs,2019-09-25,DH5α,1818,pAN,0,1.0612984895706177
313,Huseyin2019-09-25.0026.fcs,2019-09-25,DH5α,1818,pAN,5,0.9763506650924683
314,Huseyin2019-09-25.0027.fcs,2019-09-25,DH5α,1818,pAN,10,1.0260772705078125
315,Huseyin2019-09-25.0028.fcs,2019-09-25,DH5α,1818,pAN,20,1.1374951601028442
316,Huseyin2019-09-25.0029.fcs,2019-09-25,DH5α,1818,pAN,30,1.3809229135513306
317,Huseyin2019-09-25.0030.fcs,2019-09-25,DH5α,1818,pAN,40,1.4408965110778809
318,Huseyin2019-09-25.0031.fcs,2019-09-25,DH5α,1818,pAN,70,2.02571177482605
319,Huseyin2019-09-25.0032.fcs,2019-09-25,DH5α,1818,pAN,100,2.197427749633789
320,Huseyin2019-09-25.0033.fcs,2019-09-25,DH5α,1818,pAN,200,2.274564743041992
321,Huseyin2019-09-25.0034.fcs,2019-09-25,DH5α,1818,pAN,500,2.27378249168396
322,Huseyin2019-09-25.0035.fcs,2019-09-25,DH5α,1818,pAN,1000,2.649308681488037
323,Huseyin2019-09-25.0036.fcs,2019-09-25,DH5α,1818,pAN,2000,3.9445528984069824
324,Huseyin2019-09-25.0037.fcs,2019-09-25,DH5α,AmeR-F1,pAN,0,6.833892822265625
325,Huseyin2019-09-25.0038.fcs,2019-09-25,DH5α,AmeR-F1,pAN,5,6.75243616104126
326,Huseyin2019-09-25.0039.fcs,2019-09-25,DH5α,AmeR-F1,pAN,10,6.142155647277832
327,Huseyin2019-09-25.0040.fcs,2019-09-25,DH5α,AmeR-F1,pAN,20,5.1400861740112305
328,Huseyin2019-09-25.0041.fcs,2019-09-25,DH5α,AmeR-F1,pAN,30,5.082864761352539
329,Huseyin2019-09-25.0042.fcs,2019-09-25,DH5α,AmeR-F1,pAN,40,3.148585796356201
330,Huseyin2019-09-25.0043.fcs,2019-09-25,DH5α,AmeR-F1,pAN,70,2.228414297103882
331,Huseyin2019-09-25.0044.fcs,2019-09-25,DH5α,AmeR-F1,pAN,100,2.0675406455993652
332,Huseyin2019-09-25.0045.fcs,2019-09-25,DH5α,AmeR-F1,pAN,200,2.2547073364257812
333,Huseyin2019-09-25.0046.fcs,2019-09-25,DH5α,AmeR-F1,pAN,500,1.8465147018432617
334,Huseyin2019-09-25.0047.fcs,2019-09-25,DH5α,AmeR-F1,pAN,1000,1.7068710327148438
335,Huseyin2019-09-25.0048.fcs,2019-09-25,DH5α,AmeR-F1,pAN,2000,2.228344440460205
336,Huseyin2019-09-25.0049.fcs,2019-09-25,DH5α,AmtR-A1,pAN,0,2.023550033569336
337,Huseyin2019-09-25.0050.fcs,2019-09-25,DH5α,AmtR-A1,pAN,5,1.3293942213058472
338,Huseyin2019-09-25.0051.fcs,2019-09-25,DH5α,AmtR-A1,pAN,10,1.1025817394256592
339,Huseyin2019-09-25.0052.fcs,2019-09-25,DH5α,AmtR-A1,pAN,20,1.0580557584762573
340,Huseyin2019-09-25.0053.fcs,2019-09-25,DH5α,AmtR-A1,pAN,30,1.0499498844146729
341,Huseyin2019-09-25.0054.fcs,2019-09-25,DH5α,AmtR-A1,pAN,40,1.0467798709869385
342,Huseyin2019-09-25.0055.fcs,2019-09-25,DH5α,AmtR-A1,pAN,70,1.0659021139144897
343,Huseyin2019-09-25.0056.fcs,2019-09-25,DH5α,AmtR-A1,pAN,100,1.0790544748306274
344,Huseyin2019-09-25.0057.fcs,2019-09-25,DH5α,AmtR-A1,pAN,200,1.1214425563812256
345,Huseyin2019-09-25.0058.fcs,2019-09-25,DH5α,AmtR-A1,pAN,500,1.1518466472625732
346,Huseyin2019-09-25.0059.fcs,2019-09-25,DH5α,AmtR-A1,pAN,1000,1.0934942960739136
347,Huseyin2019-09-25.0060.fcs,2019-09-25,DH5α,AmtR-A1,pAN,2000,1.164945363998413
348,Huseyin2019-09-25.0061.fcs,2019-09-25,DH5α,BetI-E1,pAN,0,4.054098606109619
349,Huseyin2019-09-25.0062.fcs,2019-09-25,DH5α,BetI-E1,pAN,5,3.5032856464385986
350,Huseyin2019-09-25.0063.fcs,2019-09-25,DH5α,BetI-E1,pAN,10,2.345843553543091
351,Huseyin2019-09-25.0064.fcs,2019-09-25,DH5α,BetI-E1,pAN,20,1.50980806350708
352,Huseyin2019-09-25.0065.fcs,2019-09-25,DH5α,BetI-E1,pAN,30,1.095780611038208
353,Huseyin2019-09-25.0066.fcs,2019-09-25,DH5α,BetI-E1,pAN,40,1.0778995752334595
354,Huseyin2019-09-25.0067.fcs,2019-09-25,DH5α,BetI-E1,pAN,70,1.0304456949234009
355,Huseyin2019-09-25.0068.fcs,2019-09-25,DH5α,BetI-E1,pAN,100,1.0897719860076904
356,Huseyin2019-09-25.0069.fcs,2019-09-25,DH5α,BetI-E1,pAN,200,1.0344773530960083
357,Huseyin2019-09-25.0070.fcs,2019-09-25,DH5α,BetI-E1,pAN,500,1.063809871673584
358,Huseyin2019-09-25.0071.fcs,2019-09-25,DH5α,BetI-E1,pAN,1000,1.0359249114990234
359,Huseyin2019-09-25.0072.fcs,2019-09-25,DH5α,BetI-E1,pAN,2000,1.111788272857666
360,Huseyin2019-09-25.0073.fcs,2019-09-25,DH5α,BM3R1-B1,pAN,0,1.3372232913970947
361,Huseyin2019-09-25.0074.fcs,2019-09-25,DH5α,BM3R1-B1,pAN,5,1.0554863214492798
362,Huseyin2019-09-25.0075.fcs,2019-09-25,DH5α,BM3R1-B1,pAN,10,1.0568209886550903
363,Huseyin2019-09-25.0076.fcs,2019-09-25,DH5α,BM3R1-B1,pAN,20,1.0106797218322754
364,Huseyin2019-09-25.0077.fcs,2019-09-25,DH5α,BM3R1-B1,pAN,30,1.0311319828033447
365,Huseyin2019-09-25.0078.fcs,2019-09-25,DH5α,BM3R1-B1,pAN,40,1.0556650161743164
366,Huseyin2019-09-25.0079.fcs,2019-09-25,DH5α,BM3R1-B1,pAN,70,1.0069353580474854
367,Huseyin2019-09-25.0080.fcs,2019-09-25,DH5α,BM3R1-B1,pAN,100,1.0022339820861816
368,Huseyin2019-09-25.0081.fcs,2019-09-25,DH5α,BM3R1-B1,pAN,200,1.0050652027130127
369,Huseyin2019-09-25.0082.fcs,2019-09-25,DH5α,BM3R1-B1,pAN,500,0.9815824627876282
370,Huseyin2019-09-25.0083.fcs,2019-09-25,DH5α,BM3R1-B1,pAN,1000,0.970862627029419
371,Huseyin2019-09-25.0084.fcs,2019-09-25,DH5α,BM3R1-B1,pAN,2000,1.0110304355621338
372,Huseyin2019-09-25.0085.fcs,2019-09-25,DH5α,BM3R1-B2,pAN,0,1.4737615585327148
373,Huseyin2019-09-25.0086.fcs,2019-09-25,DH5α,BM3R1-B2,pAN,5,1.4273936748504639
374,Huseyin2019-09-25.0087.fcs,2019-09-25,DH5α,BM3R1-B2,pAN,10,1.2498494386672974
375,Huseyin2019-09-25.0088.fcs,2019-09-25,DH5α,BM3R1-B2,pAN,20,1.2443091869354248
376,Huseyin2019-09-25.0089.fcs,2019-09-25,DH5α,BM3R1-B2,pAN,30,1.1284328699111938
377,Huseyin2019-09-25.0090.fcs,2019-09-25,DH5α,BM3R1-B2,pAN,40,1.1232019662857056
378,Huseyin2019-09-25.0091.fcs,2019-09-25,DH5α,BM3R1-B2,pAN,70,1.1250938177108765
379,Huseyin2019-09-25.0092.fcs,2019-09-25,DH5α,BM3R1-B2,pAN,100,1.1012686491012573
380,Huseyin2019-09-25.0093.fcs,2019-09-25,DH5α,BM3R1-B2,pAN,200,1.139662504196167
381,Huseyin2019-09-25.0094.fcs,2019-09-25,DH5α,BM3R1-B2,pAN,500,1.1285319328308105
382,Huseyin2019-09-25.0095.fcs,2019-09-25,DH5α,BM3R1-B2,pAN,1000,1.0820013284683228
383,Huseyin2019-09-25.0096.fcs,2019-09-25,DH5α,BM3R1-B2,pAN,2000,1.110673189163208
384,Huseyin2019-09-25.0101.fcs,2019-09-25,DH5α,BM3R1-B3,pAN,0,1.3581950664520264
385,Huseyin2019-09-25.0102.fcs,2019-09-25,DH5α,BM3R1-B3,pAN,5,1.240281581878662
386,Huseyin2019-09-25.0103.fcs,2019-09-25,DH5α,BM3R1-B3,pAN,10,1.078163743019104
387,Huseyin2019-09-25.0104.fcs,2019-09-25,DH5α,BM3R1-B3,pAN,20,1.0198817253112793
388,Huseyin2019-09-25.0105.fcs,2019-09-25,DH5α,BM3R1-B3,pAN,30,1.0129433870315552
389,Huseyin2019-09-25.0106.fcs,2019-09-25,DH5α,BM3R1-B3,pAN,40,1.008052945137024
390,Huseyin2019-09-25.0107.fcs,2019-09-25,DH5α,BM3R1-B3,pAN,70,1.0069177150726318
391,Huseyin2019-09-25.0108.fcs,2019-09-25,DH5α,BM3R1-B3,pAN,100,0.9932772517204285
392,Huseyin2019-09-25.0109.fcs,2019-09-25,DH5α,BM3R1-B3,pAN,200,0.9826607704162598
393,Huseyin2019-09-25.0110.fcs,2019-09-25,DH5α,BM3R1-B3,pAN,500,1.0313794612884521
394,Huseyin2019-09-25.0111.fcs,2019-09-25,DH5α,BM3R1-B3,pAN,1000,1.0038490295410156
395,Huseyin2019-09-25.0112.fcs,2019-09-25,DH5α,BM3R1-B3,pAN,2000,1.1209309101104736
396,Huseyin2019-09-25.0113.fcs,2019-09-25,DH5α,HIyIIR-H1,pAN,0,2.805964946746826
397,Huseyin2019-09-25.0114.fcs,2019-09-25,DH5α,HIyIIR-H1,pAN,5,1.701040506362915
398,Huseyin2019-09-25.0115.fcs,2019-09-25,DH5α,HIyIIR-H1,pAN,10,1.222257137298584
399,Huseyin2019-09-25.0116.fcs,2019-09-25,DH5α,HIyIIR-H1,pAN,20,0.9847588539123535
400,Huseyin2019-09-25.0117.fcs,2019-09-25,DH5α,HIyIIR-H1,pAN,30,0.9575746655464172
401,Huseyin2019-09-25.0118.fcs,2019-09-25,DH5α,HIyIIR-H1,pAN,40,0.9574270844459534
402,Huseyin2019-09-25.0119.fcs,2019-09-25,DH5α,HIyIIR-H1,pAN,70,0.9758440256118774
403,Huseyin2019-09-25.0120.fcs,2019-09-25,DH5α,HIyIIR-H1,pAN,100,0.9510840773582458
404,Huseyin2019-09-25.0121.fcs,2019-09-25,DH5α,HIyIIR-H1,pAN,200,0.9683151245117188
405,Huseyin2019-09-25.0122.fcs,2019-09-25,DH5α,HIyIIR-H1,pAN,500,0.9556968212127686
406,Huseyin2019-09-25.0123.fcs,2019-09-25,DH5α,HIyIIR-H1,pAN,1000,0.9619496464729309
407,Huseyin2019-09-25.0124.fcs,2019-09-25,DH5α,HIyIIR-H1,pAN,2000,0.9999567270278931
408,Huseyin2019-09-25.0125.fcs,2019-09-25,DH5α,lcaRA-I1,pAN,0,2.6339640617370605
409,Huseyin2019-09-25.0126.fcs,2019-09-25,DH5α,lcaRA-I1,pAN,5,1.7669557332992554
410,Huseyin2019-09-25.0127.fcs,2019-09-25,DH5α,lcaRA-I1,pAN,10,2.021111488342285
411,Huseyin2019-09-25.0128.fcs,2019-09-25,DH5α,lcaRA-I1,pAN,20,1.1290112733840942
412,Huseyin2019-09-25.0129.fcs,2019-09-25,DH5α,lcaRA-I1,pAN,30,1.0639691352844238
413,Huseyin2019-09-25.0130.fcs,2019-09-25,DH5α,lcaRA-I1,pAN,40,1.0405404567718506
414,Huseyin2019-09-25.0131.fcs,2019-09-25,DH5α,lcaRA-I1,pAN,70,1.0179877281188965
415,Huseyin2019-09-25.0132.fcs,2019-09-25,DH5α,lcaRA-I1,pAN,100,1.0317494869232178
416,Huseyin2019-09-25.0133.fcs,2019-09-25,DH5α,lcaRA-I1,pAN,200,1.0213935375213623
417,Huseyin2019-09-25.0134.fcs,2019-09-25,DH5α,lcaRA-I1,pAN,500,0.990889847278595
418,Huseyin2019-09-25.0135.fcs,2019-09-25,DH5α,lcaRA-I1,pAN,1000,0.9808763861656189
419,Huseyin2019-09-25.0136.fcs,2019-09-25,DH5α,lcaRA-I1,pAN,2000,0.9970102906227112
420,Huseyin2019-09-25.0137.fcs,2019-09-25,DH5α,LitR-L1,pAN,0,7.315812110900879
421,Huseyin2019-09-25.0138.fcs,2019-09-25,DH5α,LitR-L1,pAN,5,4.663628101348877
422,Huseyin2019-09-25.0139.fcs,2019-09-25,DH5α,LitR-L1,pAN,10,3.212811231613159
423,Huseyin2019-09-25.0140.fcs,2019-09-25,DH5α,LitR-L1,pAN,20,1.5945942401885986
424,Huseyin2019-09-25.0141.fcs,2019-09-25,DH5α,LitR-L1,pAN,30,1.1682729721069336
425,Huseyin2019-09-25.0142.fcs,2019-09-25,DH5α,LitR-L1,pAN,40,1.096239447593689
426,Huseyin2019-09-25.0143.fcs,2019-09-25,DH5α,LitR-L1,pAN,70,1.0536292791366577
427,Huseyin2019-09-25.0144.fcs,2019-09-25,DH5α,LitR-L1,pAN,100,1.1118916273117065
428,Huseyin2019-09-25.0145.fcs,2019-09-25,DH5α,LitR-L1,pAN,200,1.0483795404434204
429,Huseyin2019-09-25.0146.fcs,2019-09-25,DH5α,LitR-L1,pAN,500,1.058732271194458
430,Huseyin2019-09-25.0147.fcs,2019-09-25,DH5α,LitR-L1,pAN,1000,1.0536547899246216
431,Huseyin2019-09-25.0148.fcs,2019-09-25,DH5α,LitR-L1,pAN,2000,1.119733452796936
432,Huseyin2019-09-25.0149.fcs,2019-09-25,DH5α,LmrA-N1,pAN,0,2.496572494506836
433,Huseyin2019-09-25.0150.fcs,2019-09-25,DH5α,LmrA-N1,pAN,5,1.7030359506607056
434,Huseyin2019-09-25.0151.fcs,2019-09-25,DH5α,LmrA-N1,pAN,10,1.4152053594589233
435,Huseyin2019-09-25.0152.fcs,2019-09-25,DH5α,LmrA-N1,pAN,20,1.0881015062332153
436,Huseyin2019-09-25.0153.fcs,2019-09-25,DH5α,LmrA-N1,pAN,30,1.015228509902954
437,Huseyin2019-09-25.0154.fcs,2019-09-25,DH5α,LmrA-N1,pAN,40,1.0278786420822144
438,Huseyin2019-09-25.0155.fcs,2019-09-25,DH5α,LmrA-N1,pAN,70,1.0254155397415161
439,Huseyin2019-09-25.0156.fcs,2019-09-25,DH5α,LmrA-N1,pAN,100,1.0720303058624268
440,Huseyin2019-09-25.0157.fcs,2019-09-25,DH5α,LmrA-N1,pAN,200,1.0725998878479004
441,Huseyin2019-09-25.0158.fcs,2019-09-25,DH5α,LmrA-N1,pAN,500,1.0673977136611938
442,Huseyin2019-09-25.0159.fcs,2019-09-25,DH5α,LmrA-N1,pAN,1000,1.046499490737915
443,Huseyin2019-09-25.0160.fcs,2019-09-25,DH5α,LmrA-N1,pAN,2000,1.1694196462631226
444,Huseyin2019-09-25.0161.fcs,2019-09-25,DH5α,PhIF-P1,pAN,0,5.907585144042969
445,Huseyin2019-09-25.0162.fcs,2019-09-25,DH5α,PhIF-P1,pAN,5,1.2437114715576172
446,Huseyin2019-09-25.0163.fcs,2019-09-25,DH5α,PhIF-P1,pAN,10,1.0230743885040283
447,Huseyin2019-09-25.0164.fcs,2019-09-25,DH5α,PhIF-P1,pAN,20,1.0184516906738281
448,Huseyin2019-09-25.0165.fcs,2019-09-25,DH5α,PhIF-P1,pAN,30,1.014451503753662
449,Huseyin2019-09-25.0166.fcs,2019-09-25,DH5α,PhIF-P1,pAN,40,0.9933964014053345
450,Huseyin2019-09-25.0167.fcs,2019-09-25,DH5α,PhIF-P1,pAN,70,1.0009613037109375
451,Huseyin2019-09-25.0168.fcs,2019-09-25,DH5α,PhIF-P1,pAN,100,1.0278347730636597
452,Huseyin2019-09-25.0169.fcs,2019-09-25,DH5α,PhIF-P1,pAN,200,1.000961184501648
453,Huseyin2019-09-25.0170.fcs,2019-09-25,DH5α,PhIF-P1,pAN,500,1.0093715190887451
454,Huseyin2019-09-25.0171.fcs,2019-09-25,DH5α,PhIF-P1,pAN,1000,0.985613226890564
455,Huseyin2019-09-25.0172.fcs,2019-09-25,DH5α,PhIF-P1,pAN,2000,1.061376929283142
456,Huseyin2019-09-25.0173.fcs,2019-09-25,DH5α,PhIF-P2,pAN,0,9.356037139892578
457,Huseyin2019-09-25.0174.fcs,2019-09-25,DH5α,PhIF-P2,pAN,5,6.535306453704834
458,Huseyin2019-09-25.0175.fcs,2019-09-25,DH5α,PhIF-P2,pAN,10,4.206883907318115
459,Huseyin2019-09-25.0176.fcs,2019-09-25,DH5α,PhIF-P2,pAN,20,1.8020117282867432
460,Huseyin2019-09-25.0177.fcs,2019-09-25,DH5α,PhIF-P2,pAN,30,1.1118767261505127
461,Huseyin2019-09-25.0178.fcs,2019-09-25,DH5α,PhIF-P2,pAN,40,1.0332465171813965
462,Huseyin2019-09-25.0179.fcs,2019-09-25,DH5α,PhIF-P2,pAN,70,1.0409984588623047
463,Huseyin2019-09-25.0180.fcs,2019-09-25,DH5α,PhIF-P2,pAN,100,1.0728602409362793
464,Huseyin2019-09-25.0181.fcs,2019-09-25,DH5α,PhIF-P2,pAN,200,1.0207711458206177
465,Huseyin2019-09-25.0182.fcs,2019-09-25,DH5α,PhIF-P2,pAN,500,1.0356945991516113
466,Huseyin2019-09-25.0183.fcs,2019-09-25,DH5α,PhIF-P2,pAN,1000,0.9958899021148682
467,Huseyin2019-09-25.0184.fcs,2019-09-25,DH5α,PhIF-P2,pAN,2000,1.0915205478668213
468,Huseyin2019-09-25.0185.fcs,2019-09-25,DH5α,PhIF-P3,pAN,0,11.377222061157227
469,Huseyin2019-09-25.0186.fcs,2019-09-25,DH5α,PhIF-P3,pAN,5,5.691403388977051
470,Huseyin2019-09-25.0187.fcs,2019-09-25,DH5α,PhIF-P3,pAN,10,2.787200689315796
471,Huseyin2019-09-25.0188.fcs,2019-09-25,DH5α,PhIF-P3,pAN,20,1.2367416620254517
472,Huseyin2019-09-25.0189.fcs,2019-09-25,DH5α,PhIF-P3,pAN,30,1.1704498529434204
473,Huseyin2019-09-25.0190.fcs,2019-09-25,DH5α,PhIF-P3,pAN,40,1.1252081394195557
474,Huseyin2019-09-25.0191.fcs,2019-09-25,DH5α,PhIF-P3,pAN,70,1.1067168712615967
475,Huseyin2019-09-25.0192.fcs,2019-09-25,DH5α,PhIF-P3,pAN,100,1.1209534406661987
476,Huseyin2019-09-25.0193.fcs,2019-09-25,DH5α,PhIF-P3,pAN,200,1.1178940534591675
477,Huseyin2019-09-25.0194.fcs,2019-09-25,DH5α,PhIF-P3,pAN,500,1.0979118347167969
478,Huseyin2019-09-25.0195.fcs,2019-09-25,DH5α,PhIF-P3,pAN,1000,1.0350507497787476
479,Huseyin2019-09-25.0196.fcs,2019-09-25,DH5α,PhIF-P3,pAN,2000,1.1429320573806763
480,Huseyin2019-09-25.0201.fcs,2019-09-25,DH5α,PsrA-R1,pAN,0,6.3245439529418945
481,Huseyin2019-09-25.0202.fcs,2019-09-25,DH5α,PsrA-R1,pAN,5,3.244483232498169
482,Huseyin2019-09-25.0203.fcs,2019-09-25,DH5α,PsrA-R1,pAN,10,1.739912509918213
483,Huseyin2019-09-25.0204.fcs,2019-09-25,DH5α,PsrA-R1,pAN,20,1.0455677509307861
484,Huseyin2019-09-25.0205.fcs,2019-09-25,DH5α,PsrA-R1,pAN,30,0.85944002866745
485,Huseyin2019-09-25.0206.fcs,2019-09-25,DH5α,PsrA-R1,pAN,40,0.9245107173919678
486,Huseyin2019-09-25.0207.fcs,2019-09-25,DH5α,PsrA-R1,pAN,70,1.2532539367675781
487,Huseyin2019-09-25.0208.fcs,2019-09-25,DH5α,PsrA-R1,pAN,100,1.4546091556549072
488,Huseyin2019-09-25.0209.fcs,2019-09-25,DH5α,PsrA-R1,pAN,200,1.3453997373580933
489,Huseyin2019-09-25.0210.fcs,2019-09-25,DH5α,PsrA-R1,pAN,500,1.6215771436691284
490,Huseyin2019-09-25.0211.fcs,2019-09-25,DH5α,PsrA-R1,pAN,1000,1.5559579133987427
491,Huseyin2019-09-25.0212.fcs,2019-09-25,DH5α,PsrA-R1,pAN,2000,2.1265931129455566
492,Huseyin2019-09-25.0213.fcs,2019-09-25,DH5α,QacR-Q1,pAN,0,1.9806967973709106
493,Huseyin2019-09-25.0214.fcs,2019-09-25,DH5α,QacR-Q1,pAN,5,1.1106858253479004
494,Huseyin2019-09-25.0215.fcs,2019-09-25,DH5α,QacR-Q1,pAN,10,0.8590672016143799
495,Huseyin2019-09-25.0216.fcs,2019-09-25,DH5α,QacR-Q1,pAN,20,0.7797734141349792
496,Huseyin2019-09-25.0217.fcs,2019-09-25,DH5α,QacR-Q1,pAN,30,0.7738893628120422
497,Huseyin2019-09-25.0218.fcs,2019-09-25,DH5α,QacR-Q1,pAN,40,0.7810592651367188
498,Huseyin2019-09-25.0219.fcs,2019-09-25,DH5α,QacR-Q1,pAN,70,0.7643876671791077
499,Huseyin2019-09-25.0220.fcs,2019-09-25,DH5α,QacR-Q1,pAN,100,0.7778689861297607
500,Huseyin2019-09-25.0221.fcs,2019-09-25,DH5α,QacR-Q1,pAN,200,0.9446443319320679
501,Huseyin2019-09-25.0222.fcs,2019-09-25,DH5α,QacR-Q1,pAN,500,0.984935462474823
