,strain,plasmid,backbone,iptg,log_mean_gfp,log_mean_v_x,log_std_gfp,log_std_v,log_rho,fit_goodness,std_gfp_correct,rrpu,median_yfp,newstandard
54,KT2440,Amtr_a1,pSeva221,70,2.6625175138107444,2.6829096483724424,0.4536268485058519,0.6327161177684792,0.6079772065631232,0.975766205251714,0.3601590686159689,2.638451221272073,1.35,1.3236450873805625
55,KT2440,Amtr_a1,pSeva221,100,2.570176091805674,2.6619000282619907,0.4624647619538334,0.6297046465233452,0.6076152469178012,0.9793498132043772,0.3673040920999285,2.5549136361169436,1.22,1.2070876776423327
56,KT2440,Amtr_a1,pSeva221,200,2.4452290751029686,2.668281259483439,0.453839319344556,0.6255758059748155,0.6228900900018655,0.9786317891707956,0.3550427477591601,2.426889793166645,1.07,1.0463272603841312
57,KT2440,Amtr_a1,pSeva221,500,2.1717820344586283,2.715656716809021,0.4817315101237845,0.6469713009178745,0.5885287658778665,0.9780519428489904,0.3894684981945945,2.1332370875821205,0.78,0.7468118838440063
58,KT2440,Amtr_a1,pSeva221,1000,1.795249719092099,2.655333759140305,0.4775536759372443,0.655344347111038,0.5841613896514595,0.9789402682048188,0.3876004832547282,1.7834855967019296,0.51,0.48782172690828424
59,KT2440,Amtr_a1,pSeva221,2000,1.5768561527834823,2.8935334517830014,0.4547465069630701,0.6513167208568571,0.6336141450299856,0.971816007839738,0.3518142802954695,1.4592540244004415,0.38,0.3165385268667041
60,KT2440,Beti_e1,pSeva221,1,3.6152576604705993,2.7836380659850497,0.4451119175218008,0.620129135554359,0.6451435492940871,0.9709438004022738,0.3400928284019525,3.5430469482004465,3.69,3.462909579317978
61,KT2440,Beti_e1,pSeva221,5,3.4456521518116863,2.645702039653109,0.472848471426559,0.6434601050013005,0.5987396409095206,0.9774728377473104,0.3787250136405142,3.4377305609576876,3.12,3.1036899458230214
62,KT2440,Beti_e1,pSeva221,10,3.4330137828874783,2.6107862142227987,0.4647453137581472,0.6220471833979314,0.6094008923420293,0.9764957971954641,0.3684790165903783,3.4407135911852005,3.07,3.113352675549309
63,KT2440,Beti_e1,pSeva221,20,3.4266508999651433,2.6589667412829647,0.4640028257747142,0.6266508267010945,0.6135423891733119,0.9778182986817774,0.3664053002333488,3.412445537345381,3.04,3.022933235443621
